,0
0,15
1,5
2,0
3,7
4,13
5,10
6,1
7,9
8,1
9,8
10,1
11,11
12,6
13,11
14,3
15,5
16,10
17,2
18,0
19,11
20,3
21,11
22,2
23,0
24,2
25,11
26,5
27,7
28,3
29,8
30,2
31,11
32,14
33,14
34,9
35,5
36,5
37,3
38,8
39,7
40,2
41,14
42,8
43,12
44,9
45,15
46,0
47,2
48,13
49,9
50,13
51,11
52,14
53,8
54,14
55,2
56,3
57,0
58,11
59,14
60,1
61,0
62,1
63,6
64,10
65,0
66,2
67,1
68,13
69,15
70,12
71,7
72,10
73,15
74,14
75,13
76,15
77,1
78,12
79,4
80,9
81,5
82,7
83,4
84,6
85,15
86,0
87,15
88,1
89,13
90,11
91,11
92,11
93,9
94,11
95,2
96,0
97,2
98,1
99,4
100,0
101,1
102,12
103,4
104,10
105,6
106,6
107,0
108,6
109,14
110,7
111,13
112,13
113,3
114,0
115,9
116,11
117,3
118,0
119,2
120,5
121,10
122,4
123,10
124,9
125,3
126,1
127,1
128,13
129,15
130,13
131,2
132,7
133,11
134,2
135,1
136,11
137,3
138,15
139,6
140,15
141,8
142,5
143,0
144,11
145,0
146,11
147,13
148,5
149,15
150,12
151,11
152,0
153,9
154,12
155,2
156,4
157,4
158,2
159,10
160,11
161,3
162,15
163,11
164,9
165,13
166,2
167,4
168,12
169,9
170,1
171,12
172,1
173,13
174,12
175,13
176,7
177,12
178,10
179,10
180,3
181,0
182,0
183,6
184,2
185,4
186,1
187,7
188,15
189,2
190,14
191,1
192,3
193,5
194,15
195,11
196,3
197,0
198,14
199,4
200,5
201,6
202,0
203,11
204,1
205,2
206,14
207,10
208,11
209,0
210,7
211,3
212,1
213,0
214,6
215,9
216,1
217,10
218,14
219,9
220,14
221,12
222,10
223,9
224,5
225,13
226,10
227,15
228,5
229,8
230,15
231,13
232,10
233,13
234,4
235,13
236,10
237,14
238,10
239,11
240,14
241,1
242,3
243,10
244,8
245,15
246,5
247,6
248,8
249,3
250,15
251,4
252,14
253,8
254,1
255,9
256,11
257,1
258,3
259,11
260,9
261,14
262,3
263,8
264,9
265,0
266,10
267,14
268,1
269,0
270,6
271,8
272,2
273,7
274,1
275,1
276,2
277,0
278,3
279,10
280,14
281,12
282,9
283,8
284,1
285,3
286,6
287,10
288,2
289,15
290,10
291,3
292,0
293,2
294,5
295,4
296,15
297,11
298,8
299,7
300,13
301,12
302,12
303,3
304,10
305,0
306,1
307,1
308,1
309,2
310,6
311,8
312,9
313,7
314,15
315,7
316,3
317,0
318,7
319,1
320,15
321,1
322,3
323,7
324,13
325,4
326,14
327,7
328,8
329,13
330,7
331,11
332,1
333,12
334,3
335,2
336,1
337,11
338,4
339,15
340,4
341,11
342,2
343,8
344,4
345,7
346,13
347,5
348,7
349,14
350,13
351,12
352,8
353,14
354,15
355,8
356,14
357,13
358,8
359,5
360,15
361,1
362,0
363,10
364,15
365,7
366,2
367,7
368,1
369,8
370,2
371,2
372,6
373,5
374,12
375,11
376,3
377,3
378,6
379,11
380,11
381,14
382,9
383,5
384,13
385,8
386,3
387,4
388,11
389,7
390,8
391,14
392,12
393,14
394,11
395,7
396,13
397,0
398,15
399,9
400,10
401,9
402,7
403,6
404,7
405,1
406,7
407,5
408,6
409,3
410,12
411,2
412,1
413,7
414,4
415,10
416,2
417,4
418,14
419,13
420,1
421,10
422,11
423,6
424,8
425,5
426,15
427,13
428,15
429,3
430,13
431,5
432,13
433,3
434,10
435,4
436,6
437,0
438,11
439,4
440,1
441,7
442,2
443,4
444,13
445,11
446,15
447,15
448,12
449,13
450,3
451,9
452,9
453,12
454,9
455,3
456,5
457,15
458,4
459,7
460,4
461,3
462,4
463,15
464,6
465,4
466,4
467,12
468,8
469,1
470,7
471,4
472,13
473,1
474,13
475,8
476,12
477,3
478,9
479,14
480,0
481,10
482,2
483,5
484,14
485,14
486,10
487,10
488,13
489,3
490,3
491,5
492,10
493,8
494,9
495,15
496,5
497,2
498,8
499,2
500,14
501,4
502,5
503,2
504,13
505,2
506,0
507,14
508,12
509,15
510,11
511,13
512,15
513,12
514,11
515,14
516,2
517,10
518,3
519,15
520,5
521,1
522,3
523,0
524,0
525,13
526,6
527,12
528,5
529,3
530,14
531,7
532,4
533,7
534,13
535,2
536,11
537,0
538,9
539,8
540,7
541,5
542,12
543,9
544,0
545,1
546,5
547,0
548,14
549,8
550,12
551,15
552,8
553,15
554,6
555,12
556,3
557,14
558,13
559,5
560,6
561,14
562,9
563,11
564,6
565,1
566,5
567,13
568,15
569,12
570,14
571,6
572,6
573,5
574,9
575,5
576,4
577,3
578,6
579,11
580,14
581,1
582,6
583,14
584,11
585,0
586,4
587,0
588,0
589,9
590,7
591,5
592,15
593,14
594,2
595,14
596,1
597,14
598,1
599,2
600,7
601,12
602,8
603,15
604,12
605,13
606,8
607,6
608,8
609,7
610,15
611,5
612,11
613,13
614,13
615,4
616,8
617,6
618,14
619,4
620,8
621,1
622,1
623,2
624,3
625,5
626,7
627,2
628,4
629,13
630,6
631,5
632,12
633,9
634,12
635,3
636,3
637,15
638,10
639,1
640,9
641,7
642,1
643,13
644,0
645,4
646,8
647,11
648,15
649,12
650,12
651,12
652,8
653,1
654,5
655,3
656,0
657,3
658,14
659,10
660,15
661,1
662,10
663,0
664,1
665,14
666,7
667,0
668,2
669,0
670,6
671,5
672,0
673,13
674,5
675,13
676,12
677,11
678,3
679,4
680,1
681,13
682,5
683,7
684,4
685,15
686,12
687,10
688,10
689,9
690,15
691,9
692,3
693,5
694,14
695,4
696,7
697,4
698,6
699,2
700,7
701,2
702,6
703,5
704,5
705,1
706,2
707,5
708,4
709,3
710,4
711,10
712,0
713,10
714,13
715,14
716,2
717,6
718,14
719,6
720,1
721,9
722,11
723,2
724,15
725,2
726,8
727,5
728,1
729,3
730,13
731,8
732,0
733,15
734,3
735,14
736,3
737,0
738,15
739,12
740,10
741,7
742,11
743,7
744,12
745,9
746,7
747,0
748,4
749,12
750,0
751,3
752,7
753,4
754,0
755,9
756,0
757,13
758,8
759,14
760,8
761,4
762,10
763,6
764,13
765,7
766,8
767,14
768,5
769,4
770,2
771,14
772,13
773,9
774,11
775,0
776,5
777,2
778,1
779,5
780,4
781,6
782,15
783,4
784,14
785,0
786,6
787,5
788,14
789,6
790,0
791,4
792,8
793,6
794,6
795,0
796,5
797,8
798,7
799,10
800,15
801,9
802,8
803,0
804,6
805,11
806,14
807,7
808,13
809,4
810,10
811,10
812,4
813,15
814,10
815,10
816,13
817,12
818,10
819,2
820,3
821,15
822,11
823,1
824,0
825,4
826,3
827,10
828,8
829,3
830,13
831,1
832,5
833,15
834,3
835,7
836,2
837,1
838,15
839,2
840,1
841,13
842,3
843,13
844,9
845,3
846,4
847,12
848,3
849,13
850,7
851,0
852,9
853,6
854,15
855,15
856,13
857,8
858,13
859,4
860,7
861,9
862,4
863,7
864,3
865,6
866,8
867,6
868,7
869,13
870,13
871,6
872,12
873,0
874,15
875,9
876,9
877,4
878,2
879,1
880,6
881,4
882,4
883,2
884,10
885,1
886,3
887,13
888,12
889,1
890,0
891,14
892,14
893,9
894,8
895,0
896,4
897,6
898,4
899,0
900,14
901,5
902,12
903,2
904,14
905,4
906,12
907,15
908,3
909,13
910,12
911,5
912,15
913,11
914,3
915,0
916,8
917,12
918,3
919,5
920,12
921,15
922,10
923,2
924,13
925,15
926,12
927,6
928,14
929,12
930,12
931,5
932,9
933,0
934,14
935,4
936,14
937,14
938,0
939,10
940,14
941,2
942,10
943,10
944,9
945,11
946,4
947,4
948,6
949,0
950,13
951,12
952,4
953,0
954,15
955,12
956,9
957,4
958,12
959,7
960,10
961,14
962,15
963,5
964,1
965,9
966,10
967,4
968,4
969,2
970,6
971,3
972,5
973,14
974,10
975,8
976,6
977,11
978,5
979,9
980,8
981,7
982,4
983,1
984,13
985,2
986,6
987,4
988,12
989,0
990,14
991,15
992,4
993,3
994,2
995,4
996,8
997,7
998,13
999,4
1000,13
1001,8
1002,8
1003,2
1004,4
1005,14
1006,4
1007,8
1008,13
1009,1
1010,11
1011,11
1012,11
1013,6
1014,1
1015,15
1016,8
1017,12
1018,6
1019,9
1020,12
1021,12
1022,13
1023,12
1024,8
1025,3
1026,0
1027,14
1028,14
1029,14
1030,10
1031,5
1032,4
1033,10
1034,8
1035,15
1036,5
1037,13
1038,4
1039,2
1040,5
1041,2
1042,1
1043,12
1044,10
1045,2
1046,13
1047,13
1048,2
1049,15
1050,15
1051,15
1052,1
1053,0
1054,3
1055,8
1056,0
1057,0
1058,0
1059,13
1060,4
1061,8
1062,10
1063,6
1064,1
1065,1
1066,12
1067,13
1068,8
1069,15
1070,1
1071,11
1072,4
1073,11
1074,5
1075,3
1076,12
1077,8
1078,2
1079,0
1080,9
1081,8
1082,11
1083,10
1084,1
1085,13
1086,4
1087,13
1088,0
1089,5
1090,11
1091,8
1092,3
1093,5
1094,14
1095,14
1096,10
1097,14
1098,4
1099,14
1100,7
1101,3
1102,9
1103,14
1104,5
1105,15
1106,7
1107,7
1108,15
1109,0
1110,11
1111,5
1112,5
1113,12
1114,7
1115,5
1116,1
1117,11
1118,0
1119,8
1120,13
1121,9
1122,13
1123,5
1124,6
1125,10
1126,12
1127,12
1128,15
1129,0
1130,0
1131,14
1132,8
1133,5
1134,13
1135,3
1136,7
1137,12
1138,0
1139,13
1140,3
1141,13
1142,1
1143,1
1144,11
1145,7
1146,6
1147,4
1148,0
1149,8
1150,10
1151,15
1152,0
1153,3
1154,0
1155,7
1156,9
1157,1
1158,3
1159,13
1160,14
1161,9
1162,7
1163,12
1164,3
1165,6
1166,14
1167,10
1168,6
1169,14
1170,0
1171,12
1172,14
1173,2
1174,9
1175,4
1176,7
1177,11
1178,5
1179,9
1180,10
1181,3
1182,3
1183,8
1184,9
1185,15
1186,5
1187,2
1188,1
1189,11
1190,15
1191,3
1192,12
1193,10
1194,14
1195,12
1196,10
1197,9
1198,15
1199,3
1200,3
1201,15
1202,15
1203,2
1204,2
1205,12
1206,6
1207,11
1208,13
1209,1
1210,14
1211,15
1212,5
1213,6
1214,8
1215,5
1216,3
1217,14
1218,11
1219,9
1220,4
1221,11
1222,0
1223,3
1224,13
1225,4
1226,5
1227,8
1228,8
1229,14
1230,3
1231,14
1232,15
1233,11
1234,1
1235,10
1236,6
1237,5
1238,9
1239,6
1240,12
1241,10
1242,11
1243,8
1244,12
1245,6
1246,14
1247,9
1248,6
1249,15
1250,14
1251,9
1252,8
1253,10
1254,4
1255,7
1256,14
1257,6
1258,4
1259,11
1260,6
1261,13
1262,1
1263,1
1264,7
1265,6
1266,1
1267,1
1268,5
1269,3
1270,3
1271,8
1272,10
1273,9
1274,11
1275,12
1276,13
1277,14
1278,11
1279,7
1280,6
1281,3
1282,10
1283,15
1284,11
1285,2
1286,7
1287,10
1288,13
1289,13
1290,2
1291,15
1292,1
1293,11
1294,2
1295,11
1296,13
1297,12
1298,7
1299,9
1300,14
1301,4
1302,8
1303,0
1304,8
1305,1
1306,15
1307,13
1308,0
1309,2
1310,7
1311,3
1312,13
1313,5
1314,4
1315,5
1316,1
1317,10
1318,5
1319,11
1320,13
1321,11
1322,11
1323,6
1324,3
1325,3
1326,14
1327,14
1328,12
1329,9
1330,4
1331,0
1332,13
1333,2
1334,2
1335,12
1336,9
1337,0
1338,4
1339,15
1340,13
1341,14
1342,5
1343,9
1344,3
1345,3
1346,5
1347,12
1348,2
1349,7
1350,6
1351,15
1352,2
1353,2
1354,7
1355,12
1356,3
1357,10
1358,0
1359,15
1360,4
1361,0
1362,1
1363,1
1364,0
1365,7
1366,14
1367,15
1368,11
1369,8
1370,10
1371,11
1372,12
1373,3
1374,0
1375,6
1376,2
1377,0
1378,14
1379,13
1380,7
1381,5
1382,0
1383,10
1384,0
1385,12
1386,8
1387,3
1388,4
1389,8
1390,15
1391,8
1392,3
1393,1
1394,1
1395,9
1396,10
1397,3
1398,14
1399,13
1400,12
1401,14
1402,10
1403,14
1404,0
1405,15
1406,13
1407,15
1408,2
1409,6
1410,5
1411,14
1412,4
1413,0
1414,3
1415,10
1416,2
1417,10
1418,2
1419,5
1420,7
1421,7
1422,4
1423,13
1424,8
1425,8
1426,8
1427,14
1428,0
1429,14
1430,7
1431,11
1432,10
1433,3
1434,6
1435,1
1436,7
1437,15
1438,14
1439,10
1440,14
1441,9
1442,2
1443,4
1444,3
1445,7
1446,9
1447,15
1448,15
1449,6
1450,8
1451,8
1452,14
1453,7
1454,6
1455,1
1456,8
1457,11
1458,12
1459,6
1460,5
1461,15
1462,13
1463,8
1464,11
1465,11
1466,0
1467,1
1468,9
1469,15
1470,0
1471,0
1472,4
1473,6
1474,11
1475,8
1476,5
1477,5
1478,12
1479,14
1480,1
1481,7
1482,1
1483,2
1484,13
1485,12
1486,9
1487,3
1488,4
1489,12
1490,10
1491,0
1492,2
1493,1
1494,5
1495,4
1496,0
1497,0
1498,7
1499,4
1500,7
1501,4
1502,7
1503,6
1504,7
1505,11
1506,14
1507,0
1508,3
1509,10
1510,6
1511,15
1512,9
1513,5
1514,13
1515,12
1516,0
1517,9
1518,0
1519,1
1520,7
1521,8
1522,10
1523,7
1524,8
1525,0
1526,10
1527,2
1528,12
1529,8
1530,3
1531,9
1532,9
1533,6
1534,9
1535,4
1536,3
1537,1
1538,9
1539,7
1540,14
1541,3
1542,1
1543,9
1544,6
1545,10
1546,15
1547,4
1548,14
1549,8
1550,6
1551,10
1552,0
1553,8
1554,13
1555,4
1556,7
1557,0
1558,9
1559,8
1560,7
1561,12
1562,7
1563,15
1564,3
1565,6
1566,5
1567,6
1568,5
1569,14
1570,7
1571,10
1572,11
1573,9
1574,14
1575,6
1576,15
1577,15
1578,14
1579,13
1580,0
1581,10
1582,9
1583,6
1584,7
1585,3
1586,0
1587,5
1588,15
1589,7
1590,6
1591,13
1592,4
1593,11
1594,13
1595,11
1596,1
1597,1
1598,12
1599,8
1600,8
1601,4
1602,8
1603,2
1604,10
1605,13
1606,9
1607,13
1608,3
1609,7
1610,7
1611,11
1612,7
1613,8
1614,12
1615,6
1616,10
1617,2
1618,2
1619,8
1620,3
1621,5
1622,5
1623,3
1624,10
1625,12
1626,2
1627,6
1628,5
1629,10
1630,11
1631,5
1632,10
1633,3
1634,7
1635,10
1636,15
1637,14
1638,0
1639,13
1640,10
1641,4
1642,8
1643,10
1644,5
1645,13
1646,4
1647,8
1648,5
1649,4
1650,6
1651,0
1652,7
1653,11
1654,2
1655,14
1656,14
1657,7
1658,11
1659,9
1660,0
1661,3
1662,11
1663,2
1664,13
1665,8
1666,12
1667,14
1668,13
1669,11
1670,5
1671,12
1672,13
1673,4
1674,2
1675,15
1676,12
1677,3
1678,4
1679,2
1680,4
1681,8
1682,13
1683,13
1684,13
1685,14
1686,4
1687,1
1688,9
1689,14
1690,0
1691,3
1692,2
1693,4
1694,13
1695,14
1696,15
1697,7
1698,12
1699,2
1700,8
1701,14
1702,2
1703,3
1704,14
1705,3
1706,14
1707,13
1708,6
1709,14
1710,2
1711,11
1712,0
1713,1
1714,8
1715,7
1716,0
1717,5
1718,4
1719,0
1720,4
1721,1
1722,4
1723,10
1724,4
1725,5
1726,7
1727,9
1728,5
1729,4
1730,13
1731,8
1732,8
1733,3
1734,2
1735,10
1736,5
1737,7
1738,14
1739,2
1740,11
1741,1
1742,4
1743,7
1744,3
1745,2
1746,5
1747,6
1748,6
1749,6
1750,1
1751,13
1752,11
1753,4
1754,1
1755,5
1756,2
1757,9
1758,0
1759,14
1760,13
1761,1
1762,12
1763,3
1764,1
1765,6
1766,15
1767,12
1768,10
1769,5
1770,8
1771,6
1772,8
1773,5
1774,6
1775,3
1776,8
1777,3
1778,2
1779,8
1780,0
1781,6
1782,6
1783,5
1784,2
1785,8
1786,14
1787,2
1788,6
1789,1
1790,11
1791,8
1792,5
1793,13
1794,5
1795,9
1796,10
1797,5
1798,9
1799,2
1800,13
1801,3
1802,10
1803,9
1804,1
1805,3
1806,5
1807,14
1808,3
1809,1
1810,8
1811,15
1812,14
1813,12
1814,13
1815,14
1816,4
1817,9
1818,5
1819,10
1820,10
1821,0
1822,5
1823,14
1824,13
1825,0
1826,11
1827,1
1828,4
1829,5
1830,15
1831,1
1832,9
1833,0
1834,14
1835,10
1836,5
1837,8
1838,5
1839,2
1840,0
1841,8
1842,14
1843,12
1844,5
1845,6
1846,9
1847,6
1848,15
1849,4
1850,9
1851,8
1852,14
1853,11
1854,13
1855,11
1856,13
1857,15
1858,9
1859,9
1860,10
1861,2
1862,5
1863,2
1864,2
1865,10
1866,10
1867,8
1868,14
1869,9
1870,7
1871,10
1872,9
1873,2
1874,0
1875,2
1876,10
1877,7
1878,9
1879,12
1880,8
1881,1
1882,0
1883,15
1884,0
1885,7
1886,13
1887,11
1888,3
1889,2
1890,13
1891,11
1892,12
1893,15
1894,8
1895,3
1896,6
1897,8
1898,15
1899,14
1900,0
1901,11
1902,1
1903,6
1904,15
1905,13
1906,3
1907,15
1908,7
1909,4
