,User1,User2,User3
0,0,1,0
1,0,2,2
2,2,1,2
3,1,1,0
4,2,2,0
5,1,2,1
6,0,1,0
7,2,0,0
8,2,0,1
9,1,1,1
10,0,1,1
11,2,1,1
12,2,0,1
13,0,2,0
14,1,0,1
15,2,0,0
16,2,2,0
17,1,0,0
18,1,0,1
19,0,0,0
20,2,2,1
21,0,2,0
22,0,2,2
23,1,2,0
24,1,1,0
25,1,1,0
26,0,1,0
27,2,1,0
28,1,0,1
29,2,2,0
30,0,1,1
31,1,1,2
32,1,0,1
33,0,0,1
34,0,2,2
35,1,0,0
36,1,2,0
37,1,1,2
38,2,2,2
39,1,1,0
40,1,2,1
41,0,1,1
42,2,2,1
43,0,2,0
44,0,2,0
45,1,0,2
46,0,0,1
47,2,0,2
48,0,1,0
49,1,2,2
50,2,1,0
51,0,0,2
52,0,0,0
53,2,1,0
54,2,1,2
55,1,0,0
56,1,0,2
57,1,1,2
58,1,2,2
59,0,2,0
60,0,2,1
61,2,0,0
62,0,1,1
63,0,1,1
64,1,0,0
65,0,1,0
66,2,1,2
67,2,2,1
68,2,2,2
69,0,0,2
70,1,0,2
71,1,1,0
72,1,1,0
73,0,0,2
74,1,1,1
75,2,0,0
76,1,0,1
77,0,0,1
78,1,0,1
79,1,0,1
80,0,2,0
81,1,0,0
82,1,2,1
83,0,2,1
84,2,0,1
85,0,0,1
86,2,2,2
87,2,1,0
88,1,0,2
89,2,1,2
90,2,1,2
91,2,0,1
92,1,0,0
93,0,0,0
94,2,1,2
95,0,2,1
96,0,1,1
97,1,2,0
98,1,0,0
99,2,2,0
