,User1,User2,User3
0,0,1,0
1,0,1,2
2,1,1,0
3,0,1,2
4,2,1,0
5,0,2,2
6,1,2,0
7,0,1,2
8,2,1,0
9,0,1,2
10,2,1,0
11,1,1,1
12,2,1,0
13,1,1,2
14,2,1,2
15,0,1,2
16,2,1,0
17,0,1,2
18,2,1,0
19,0,1,2
20,2,1,0
21,0,1,2
22,2,1,0
23,0,1,2
24,2,1,0
25,0,1,2
26,2,1,0
27,0,1,2
28,2,1,0
29,0,1,2
30,2,1,0
31,0,1,2
32,2,1,0
33,0,1,2
34,2,1,0
35,0,1,2
36,2,1,0
37,0,1,2
38,2,2,0
39,0,1,0
40,2,1,0
41,0,1,2
42,2,1,0
43,0,1,2
44,2,1,0
45,0,1,2
46,2,1,0
47,0,1,2
48,2,1,0
49,0,1,2
50,2,1,0
51,0,1,2
52,2,1,0
53,0,1,2
54,2,1,0
55,0,1,2
56,2,1,0
57,0,1,2
58,2,1,0
59,0,1,2
60,2,1,0
61,0,1,2
62,2,1,0
63,0,1,2
64,2,1,0
65,0,1,2
66,2,1,0
67,0,1,2
68,2,1,0
69,0,1,2
70,2,0,1
71,1,0,2
72,2,1,0
73,0,1,2
74,2,1,0
75,0,1,2
76,2,1,0
77,0,1,2
78,2,2,0
79,0,1,2
80,2,1,0
81,0,1,2
82,2,1,0
83,0,1,2
84,2,1,0
85,0,1,2
86,2,1,0
87,0,1,2
88,2,1,0
89,0,1,2
90,2,1,0
91,0,1,2
92,2,1,0
93,0,1,2
94,2,1,0
95,0,1,2
96,2,1,0
97,0,1,2
98,2,1,0
99,0,1,2
