,User1,User2,User3
0,2,1,0
1,0,1,0
2,1,1,2
3,2,0,0
4,1,2,0
5,2,2,1
6,0,1,2
7,0,0,1
8,1,2,1
9,2,2,0
10,0,2,2
11,2,2,1
12,0,0,0
13,0,1,0
14,0,1,0
15,2,0,2
16,1,2,1
17,1,1,0
18,2,0,1
19,0,0,0
20,2,1,1
21,0,2,2
22,2,1,1
23,2,2,0
24,2,1,0
25,2,2,2
26,2,2,0
27,2,2,0
28,2,1,0
29,1,0,0
30,1,2,0
31,2,2,1
32,2,2,1
33,2,2,2
34,1,2,0
35,1,2,2
36,2,1,0
37,1,0,0
38,1,0,2
39,0,0,2
40,0,1,1
41,0,1,2
42,0,1,0
43,2,1,1
44,1,1,2
45,0,0,2
46,2,0,0
47,0,1,2
48,0,2,2
49,2,1,1
50,0,1,1
51,1,0,0
52,2,2,0
53,1,0,2
54,1,2,1
55,1,2,0
56,2,0,1
57,1,1,1
58,1,2,2
59,0,0,2
60,2,1,1
61,0,2,1
62,1,2,1
63,2,1,2
64,0,2,0
65,1,1,1
66,0,0,0
67,2,1,2
68,0,1,0
69,0,2,2
70,1,1,0
71,0,1,0
72,2,1,2
73,2,1,0
74,2,1,1
75,1,1,1
76,1,1,2
77,0,1,1
78,1,1,1
79,0,1,1
80,2,1,1
81,0,1,2
82,1,2,0
83,0,1,1
84,2,0,1
85,1,1,1
86,0,0,2
87,2,0,0
88,2,0,2
89,0,0,2
90,1,2,2
91,1,2,0
92,2,1,0
93,2,1,2
94,1,0,0
95,2,2,2
96,1,1,1
97,1,1,1
98,0,2,0
99,2,1,1
